WATERBODY,WBID,the_geom,CO_NUMBER,COUNTY,REGION,Location,IRCat2008,IRCat2006,Change2006,DsgLake04,WBPoint,PubLnd_Int,Legend,DesUse,Rationale,DataSource,Priority,Comments,Impairment
Little Spirit Lake,IA 06-LSR-02870-L_0,POINT (-95.12479102763969 43.4974373884821),30,Dickinson,NW,"Dickinson County, S8,T100N,R36W, 5 mi. NE of Montgomery.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Upper Gar Lake,IA 06-LSR-02830-L_0,POINT (-95.12114771390203 43.367806229697116),30,Dickinson,NW,"Dickinson County, S29,T99N,R36W, at E edge of Arnolds Park.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Lower Gar Lake,IA 06-LSR-02805-L_0,POINT (-95.11935621036942 43.34942143566343),30,Dickinson,NW,"Dickinson County, S32,T99N,R36W, 2 mi. NE of Milford.",4a,4a,No,1,0,1,2,,,,,,turbidity
Ingham Lake,IA 04-UDM-03985-L_0,POINT (-94.6949005653247 43.319191516591474),32,Emmet,NW,"Emmet County, S12,T98N,R33W, 6 mi E of Wallingford.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Lake Smith,IA 04-EDM-00610-L_0,POINT (-94.24157170275906 43.1239506331825),55,Kossuth,NC,"Kossuth County, S36,T96N,R29W, 3 mi. N of Algona.",4a,2a,Yes,1,0,1,2,,,,,,noxious aquatic plants
Lake Meyers,IA 01-TRK-02245-L_0,POINT (-91.91005148692356 43.17527834519311),96,Winneshiek,NE,"Winneshiek County, S34,T97N,R9W, 3 mi SW of Calmar.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Silver Lake,IA 02-SHL-00295-L_0,POINT (-93.41737054379887 43.48144417172685),98,Worth,NC,"Worth County, S14,T100N,R22W, 8 mi. N of Joice.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Trumbull Lake,IA 06-LSR-02450-L_0,POINT (-94.94940597946992 43.187070298276126),21,Clay,NW,"Clay County, S27,T97N,R35W, 5 mi NE of Dickens.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Five Island Lake,IA 04-UDM-03850-L_0,POINT (-94.6705214174055 43.132277744351306),74,Palo Alto,NW,"Palo Alto County, S18,T96N,R32W, at Emmetsburg.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Silver Lake,IA 04-UDM-01020-L_0,POINT (-94.88508865347444 43.03223685677619),74,Palo Alto,NW,"Palo Alto County, S20,T95N,R34W, 2 mi W of Ayrshire.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Storm Lake (incl Little Storm Lake),IA 04-RAC-00530-L_0,POINT (-95.18590361456368 42.61690048799604),11,Buena Vista,NW,"Buena Vista County, S14,T90N,R37W, at Storm Lake.",4a,4a,No,1,0,1,2,,,,,,turbidity
Little Clear Lake,IA 04-RAC-01620-L_0,POINT (-94.90038390513409 42.73217837532504),76,Pocahontas,NW,"Pocahontas County, S6,T91N,R34W, 11 mi W of Pocahontas.",4c,4c,No,1,0,1,3,,,,,Infestation with purple loosestrife degrading wetland habitat.,habitat alteration
Lake Cornelia,IA 04-UDM-02290-L_0,POINT (-93.68949337574028 42.78631232300796),99,Wright,NC,"Wright County, S16,T92N,R24W, at Cornelia.",4a,4a,No,1,0,1,2,,,,,,"algae, turbidity"
Big Wall Lake,IA 02-IOW-00860-L_0,POINT (-93.64989756929464 42.617570397256856),99,Wright,NC,"Wright County, S14,T90N,R24W, 8 mi WSW of Dows.",4c,4c,No,1,0,1,3,,,,,Impairment related to lack of ability to draw-down wetland to allow winter kill of common carp.,flow alteration
Black Hawk Pits,IA 04-RAC-00477-L_0,POINT (-95.05436478730181 42.270896365698405),81,Sac,NW,"Sac County, S9,T86N,R36W, 2 mi S of Lake View.",4c,3b,Yes,1,0,0,3,,,,,Wetland is impaired by purple loosestrife; should have been in IR 4c of previous cycles.,habitat alteration
Little Wall Lake,IA 03-SSK-00360-L_0,POINT (-93.63650320206558 42.26950678631824),40,Hamilton,NC,"Hamilton County, S10,T86N,R24W, 1 mi. S of Jewell",4a,4a,No,1,0,1,2,,,,,,turbidity; algae
Rabbitt Island Lake,IA 06-WEM-00452-L_0,POINT (-96.31750059990155 42.151275327063836),67,Monona,SW,"Monona County, S28,T85N,R47W, 10 mi. WNW of Whiting.",4c,4c,No,1,0,1,3,,,,,Channel degradation of the Missouri River along Iowa has contributed to de-watering of this floodplain wetland.,hydrological modification
