OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,Nom_Commun,Nom_Prefec,Type,amenity,project_oi,id,addr_full,company,descriptio,office,operator_t,source,source_dat,source_geo,company_si,contact_em,contact_ph,name,start_date,id_uuid,short_name,source_pos,contact_fa,contact_tw,contact_we,school_FR,atm,contact_li,name_it,operator,addr_stree,opening_ho,building_l,company_st,secondary_,teaching_i,contact_go,fixme,project_pd,addr_city,addr_count,addr_distr,addr_house,addr_postc,addr_provi,addr_subur,level,workshop,addr_hou_1,alt_name,ngo_busine,name_fr,wikidata,wikipedia,company__1,incubator,incubator_,seats,name_en,hackerspac,leisure,email,phone,smoking,website,incubato_1,incubato_2,wheelchair,investor,government,internet_a,addr_place,addr_state,school_HT,operationa,operatio_1,school_dis,school_typ,sector,short_na_1,old_name,phone_1,contact_yo,incubato_3,contact_pe,alt_name_1,contact_in,tourism,informatio,landuse,url,shop,building,internet_1,cuisine,name_ar,image,NEAR_FID,NEAR_DIST,longitude,latitude,Shape_Length,Shape_Area
1,0,0,3239.060152,24525.13052,LEGBASSITO,AGOENYIVE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24525.13059,32390601.41
2,13,1,1546.062846,26427.49915,AMOUTIVE,GOLFE,1, ,yes,node/4482544493,"Fléau jardin, Lomé, Togo", ,INNOV'UP TOGO crée une plate forme de dialogue et d’actions pour promouvoir l’entrepreneuriat féminin au Togo afin de lui permettre de contribuer à la réalisation des Objectifs pour le Développement Durable et ceux du NEPAD.,ngo,private,local_knowledge;oif-dfen_carteinnov,2016-09-06,survey;oif-dfen_carteinnov, ,info@innovup.fefa.tg,+228 22200625;+228 92698446;+228 99824376,Centre Entrepreneurial Des Femmes d'Affaires Du Togo,2016, ,INNOV'UP TOGO, ,www.facebook.com/InnovupTogo/, ,http://innovup.fefa.tg/, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1059,0.000698725,1.223816487,6.131140512,26427.49907,15460628.43
3,0,2,4016.630514,32142.1981,BAGUIDA,GOLFE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32142.19816,40166305.24
4,6,3,6088.195219,52636.11474,BE EST,GOLFE,1, ,yes,node/4380614597,"2ième étage du centre communautaire de Bè, Lomé, Togo", ,"L'ACOMB est une ONG de développement active dans les domaines de la gouvernance, transparence et justice sociale, gestion de l’environnement et changement climatique et initiation des jeunes aux NTIC.",ngo,community,local_knowledge;oif-dfen_carteinnov,2016-08-31,survey;oif-dfen_carteinnov, ,acomb9@hotmail.com,+228 93098977;+228 98483848,Association pour l’Autopromotion des Communautés de Base,1992, ,ACOMB, ,https://www.facebook.com/ong.acomb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,52636.11493,60881952.38
5,13,4,1968.427759,19609.69638,BE CENTRE,GOLFE,1, ,yes,node/4351623476,"Route de Djagblé, Derrière la Station Total Kégué", ,Société de services en ingénierie informatique,company,private,local_knowledge;oif-dfen_carteinnov,2016-09-14,survey;oif-dfen_carteinnov,pme,info@appsland.com,+228 22261642,APPSLAND,2011, ,APPSLAND, ,www.facebook.com/appsland,https://twitter.com/appsland,www.appsland.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2282,0.000943267,1.241865383,6.205478602,19609.69628,19684277.63
6,8,5,1826.743309,24244.45256,BE OUEST,GOLFE,1, ,yes,node/4413128762,"CIC-UL, Lomé, Togo", ,ATULL fait la promotion et la vulgarisation des logiciels libre au Togo.,ngo,community,local_knowledge;oif-dfen_carteinnov;fonderie_ile-de-france,2016-09-21,survey;oif-dfen_carteinnov, ,atull@atull.tg,+228 90200528,Association Togolaise des Utilisateurs de Logiciels Libres,2001, ,ATULL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,568,0.000398263,1.214791261,6.176235334,24244.45233,18267433.03
7,10,6,4867.422151,33482.24641,AFLAO SAGBADO,GOLFE,0, ,yes,node/5753952222,06 Rue 21 Soviépé Lomé - Togo, ,"Entreprise qui intervient dans le web, le graphisme et la production audiovisuelle.  Initiateur du projet d'intérêt public www.schoolvi.net",company,private, ,2018-07-11, ,tpe,agbonouti@gmail.com,+22822257193,Africavi Média Groupe,2017-01-01, ,AMG, ,https://www.facebook.com/africavimediagroupesarl,https://twitter.com/africavinet,http://www.schoolvi.net, , , , , , , , , , , ,https://plus.google.com/africavinet, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,33482.24636,48674221.36
8,26,7,2333.927235,35129.60832,AFLAO GAKLI,GOLFE,1,college,yes,node/4389406861,"Adidogomé Amadahomé, lomé,Togo", ,"L'ong fait des formations en entreprenariat et NTIC, appui et accompagnement technique et financiers et mène aussi des actions dans le développement durable.",project_incubator;business_accelerator;business_nursery;ngo,community,local_knowledge;oif-dfen_carteinnov,2016-09-06, , , ,+22822304833;+228 90472321,Action Société pour le Développement Intégral,2009, ,ASDI,survey;oif-dfen_carteinnov,https://www.facebook.com/ongASDI, ,www.ong-asdi.org, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,35129.60817,23339272.28
9,1,8,402.948418,11217.25706,VAKPOSSITO,AGOENYIVE,1, ,yes,node/5180362121,"Agoè Assigomé, proche de L’Entreprise de l’union, à 100m du Carrefour Vidéo.", ,Entreprise de prestation de service informatique : conception de logiciels informatiques pour les PME/PMI. Nos services reposent sur les technologies JAVA.,company,private,local_knowledge;oif-dfen_carteinnov, , , ,orodatasolution@gmail.com,+228 90980156,ORO DATA,2017-07-15, ,ORO DATA, , , , , , , , ,PAKOUPETE Magloire E., , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,11217.25687,4029484.165
10,16,9,3526.741816,29484.42475,AGOENYIVE,AGOENYIVE,1, ,yes,node/5130705861,"01 BP 3585, Agbalépédogan, Lomé, Togo", ,"Agrisoft est une plateforme web/mobile qui permet la location d'équipements et matériels agricoles entre paysans, entrepreneurs agricoles et equipementiers",ngo,private,local_knowledge;oif-dfen_cartinnov,2016-09-11,survey;oif-dfen_cartinnov, ,contact@ecohub.tg,+228 25558989;+228 98494242,AGRISoft,2016, ,AGRISoft, , , ,http://www.agrisoft.tg, , , , ,Ephrem KOUTOUMNA, , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2893,0.000158449,1.191875394,6.205360804,29484.42494,35267418.24
